sepal_length,sepal_width,petal_length,petal_width,species_Iris-setosa,species_Iris-versicolor,species_Iris-virginica
0.4285714285714286,0.42105263157894735,0.6842105263157894,0.7083333333333334,0,0,1
0.6857142857142855,0.42105263157894735,0.7543859649122806,0.8333333333333335,0,0,1
0.657142857142857,0.5789473684210527,0.7894736842105263,1.0,0,0,1
0.7999999999999998,0.5263157894736845,0.8421052631578947,0.7083333333333334,0,0,1
0.5428571428571427,0.05263157894736836,0.5614035087719299,0.5000000000000001,0,1,0
0.657142857142857,0.5789473684210527,0.7894736842105263,0.8333333333333335,0,0,1
0.05714285714285694,0.6315789473684212,0.035087719298245584,0.08333333333333333,1,0,0
0.02857142857142847,0.05263157894736836,0.017543859649122806,0.08333333333333333,1,0,0
0.3142857142857143,0.05263157894736836,0.49122807017543857,0.5000000000000001,0,1,0
0.9142857142857141,0.42105263157894735,0.9473684210526314,0.8333333333333335,0,0,1
0.5142857142857142,0.0,0.5789473684210527,0.5833333333333334,0,1,0
0.48571428571428554,0.21052631578947367,0.7719298245614034,0.5416666666666667,0,0,1
0.37142857142857144,0.42105263157894735,0.5263157894736842,0.4583333333333333,0,1,0
0.17142857142857126,0.6842105263157896,0.07017543859649122,0.20833333333333331,1,0,0
0.5714285714285714,0.368421052631579,0.5438596491228069,0.5000000000000001,0,1,0
0.3999999999999999,0.21052631578947367,0.49122807017543857,0.4583333333333333,0,1,0
0.17142857142857126,0.5789473684210527,0.035087719298245584,0.04166666666666667,1,0,0
0.6285714285714283,0.368421052631579,0.5964912280701753,0.5000000000000001,0,1,0
0.48571428571428554,0.42105263157894735,0.5964912280701753,0.5416666666666667,0,1,0
0.3999999999999999,0.26315789473684226,0.6842105263157894,0.75,0,0,1
0.34285714285714275,0.368421052631579,0.42105263157894735,0.5000000000000001,0,1,0
0.6857142857142855,0.3157894736842104,0.631578947368421,0.5416666666666667,0,1,0
0.9428571428571426,0.21052631578947367,1.0,0.9166666666666666,0,0,1
0.19999999999999973,0.6842105263157896,0.035087719298245584,0.04166666666666667,1,0,0
0.5142857142857142,0.3157894736842104,0.631578947368421,0.7083333333333334,0,0,1
0.48571428571428554,0.42105263157894735,0.6491228070175439,0.7083333333333334,0,0,1
0.08571428571428563,0.5263157894736845,0.017543859649122806,0.04166666666666667,1,0,0
0.5428571428571427,0.6315789473684212,0.7719298245614034,0.9583333333333334,0,0,1
0.34285714285714275,0.42105263157894735,0.5087719298245613,0.5000000000000001,0,1,0
0.19999999999999973,0.6842105263157896,0.035087719298245584,0.08333333333333333,1,0,0
0.34285714285714275,0.42105263157894735,0.5789473684210527,0.5833333333333334,0,1,0
0.5999999999999999,0.42105263157894735,0.807017543859649,0.8750000000000001,0,0,1
0.657142857142857,0.47368421052631593,0.7719298245614034,0.9583333333333334,0,0,1
0.657142857142857,0.47368421052631593,0.6140350877192983,0.5833333333333334,0,1,0
0.2857142857142858,0.8947368421052633,0.017543859649122806,0.125,1,0,0
0.14285714285714302,0.47368421052631593,0.05263157894736842,0.0,1,0,0
0.8571428571428572,0.3157894736842104,0.8596491228070173,0.75,0,0,1
0.17142857142857126,0.42105263157894735,0.07017543859649122,0.04166666666666667,1,0,0
0.05714285714285694,0.5263157894736845,0.035087719298245584,0.04166666666666667,1,0,0
0.5142857142857142,0.368421052631579,0.5438596491228069,0.5000000000000001,0,1,0
0.2857142857142858,0.42105263157894735,0.5789473684210527,0.5833333333333334,0,1,0
0.3142857142857143,0.10526315789473673,0.45614035087719296,0.4166666666666667,0,1,0
0.2571428571428571,0.7894736842105265,0.05263157894736842,0.04166666666666667,1,0,0
0.5428571428571427,0.5789473684210527,0.8421052631578947,1.0,0,0,1
0.22857142857142865,0.6315789473684212,0.035087719298245584,0.04166666666666667,1,0,0
0.2857142857142858,0.6315789473684212,0.05263157894736842,0.125,1,0,0
0.3999999999999999,0.3157894736842104,0.6842105263157894,0.9583333333333334,0,0,1
0.0,0.42105263157894735,0.017543859649122806,0.04166666666666667,1,0,0
0.34285714285714275,0.1578947368421053,0.4736842105263157,0.4166666666666667,0,1,0
0.48571428571428554,0.3157894736842104,0.6140350877192983,0.4583333333333333,0,1,0
0.8285714285714283,0.368421052631579,0.894736842105263,0.7083333333333334,0,0,1
0.48571428571428554,0.3157894736842104,0.49122807017543857,0.5000000000000001,0,1,0
0.37142857142857144,0.1578947368421053,0.6666666666666666,0.7916666666666667,0,0,1
0.5714285714285714,0.3157894736842104,0.7719298245614034,0.8333333333333335,0,0,1
0.4571428571428571,0.0,0.6666666666666666,0.5833333333333334,0,0,1
0.6857142857142855,0.5263157894736845,0.824561403508772,0.9166666666666666,0,0,1
0.37142857142857144,0.3157894736842104,0.5789473684210527,0.5000000000000001,0,1,0
0.0,0.5263157894736845,0.017543859649122806,0.04166666666666667,1,0,0
0.22857142857142865,0.6842105263157896,0.05263157894736842,0.04166666666666667,1,0,0
0.1142857142857141,0.6315789473684212,0.12280701754385964,0.04166666666666667,1,0,0
0.37142857142857144,0.8421052631578947,0.08771929824561403,0.08333333333333333,1,0,0
0.17142857142857126,0.6315789473684212,0.07017543859649122,0.125,1,0,0
0.5714285714285714,0.3157894736842104,0.7719298245614034,0.8750000000000001,0,0,1
0.14285714285714302,0.47368421052631593,0.05263157894736842,0.0,1,0,0
0.22857142857142865,1.0,0.05263157894736842,0.0,1,0,0
0.5428571428571427,0.1578947368421053,0.6491228070175439,0.5833333333333334,0,1,0
0.17142857142857126,0.05263157894736836,0.36842105263157887,0.375,0,1,0
0.05714285714285694,0.47368421052631593,0.05263157894736842,0.04166666666666667,1,0,0
0.0,0.368421052631579,0.035087719298245584,0.04166666666666667,1,0,0
0.5428571428571427,0.1578947368421053,0.6666666666666666,0.75,0,0,1
0.19999999999999973,0.7894736842105265,0.05263157894736842,0.125,1,0,0
0.7142857142857144,0.47368421052631593,0.736842105263158,0.8333333333333335,0,0,1
0.3142857142857143,0.21052631578947367,0.5614035087719299,0.4583333333333333,0,1,0
0.6285714285714283,0.42105263157894735,0.5614035087719299,0.5416666666666667,0,1,0
0.19999999999999973,0.1578947368421053,0.3157894736842105,0.4166666666666667,0,1,0
0.17142857142857126,0.5263157894736845,0.0,0.04166666666666667,1,0,0
0.37142857142857144,0.368421052631579,0.5263157894736842,0.5000000000000001,0,1,0
0.4571428571428571,0.26315789473684226,0.6842105263157894,0.6250000000000001,0,1,0
0.5999999999999999,0.5263157894736845,0.6842105263157894,0.7916666666666667,0,0,1
0.7999999999999998,0.42105263157894735,0.807017543859649,0.6250000000000001,0,0,1
0.34285714285714275,0.3157894736842104,0.6491228070175439,0.7916666666666667,0,0,1
0.17142857142857126,0.6842105263157896,0.017543859649122806,0.08333333333333333,1,0,0
0.3142857142857143,0.6842105263157896,0.017543859649122806,0.04166666666666667,1,0,0
0.4571428571428571,0.6315789473684212,0.5789473684210527,0.6250000000000001,0,1,0
0.5714285714285714,0.26315789473684226,0.719298245614035,0.75,0,0,1
0.19999999999999973,0.5789473684210527,0.08771929824561403,0.16666666666666669,1,0,0
0.5999999999999999,0.3157894736842104,0.5964912280701753,0.5833333333333334,0,1,0
0.7714285714285714,0.42105263157894735,0.824561403508772,0.8333333333333335,0,0,1
0.5142857142857142,0.6315789473684212,0.736842105263158,0.9166666666666666,0,0,1
0.3999999999999999,0.9473684210526319,0.0,0.04166666666666667,1,0,0
0.2857142857142858,0.7894736842105265,0.05263157894736842,0.04166666666666667,1,0,0
0.19999999999999973,0.8421052631578947,0.12280701754385964,0.125,1,0,0
0.9428571428571426,0.42105263157894735,0.8596491228070173,0.9166666666666666,0,0,1
0.5999999999999999,0.42105263157894735,0.7017543859649122,0.7916666666666667,0,0,1
0.19999999999999973,0.6315789473684212,0.05263157894736842,0.04166666666666667,1,0,0
0.19999999999999973,0.8421052631578947,0.07017543859649122,0.04166666666666667,1,0,0
0.7999999999999998,0.7368421052631582,0.8596491228070173,1.0,0,0,1
0.48571428571428554,0.368421052631579,0.6140350877192983,0.5416666666666667,0,1,0
1.0,0.8421052631578947,0.9122807017543859,0.7916666666666667,0,0,1
